exp_no,amplitude,wavelength,del_x,travel_distance,velocity,,Current (A),Voltage (V),
88,1.11,2.55,0.04,60,3.14,,184.73,27.39,
89,1.03,2.84,0.07,60,2.39,,187.15,23.65,
90,1.18,2.1,0.04,60,4.14,,198.56,22.36,
91,0.79,1.97,0.02,60,3.32,,185.04,27.67,
92,0.71,2.53,0.05,60,3,,184.3,24.63,
93,1.17,2.88,0.07,60,2.65,,187.33,26.89,
94,0.2,3.15,0.06,60,4.1,,217.55,23.15,
95,1.01,2.64,0.06,60,3.69,,209.76,25.24,
96,0.7,2.33,0.05,60,2.59,,199.05,26.43,
97,0.51,2.72,0.06,60,3.39,,202.59,23.55,
98,1.08,2.6,0.03,60,2.27,,180.94,22.55,
99,1.04,2.58,0.05,60,3.52,,187.87,23.44,
100,1.09,2.42,0.04,60,3.43,,203.37,24.39,
